  a, b, label
  5.000, 63.000,  1.000
 10.000, 59.000,  1.000
  9.000, 65.500,  1.000
 13.000, 49.000,  1.000
 13.000, 69.000,  1.000
 12.000, 88.000,  1.000
 15.000, 75.000,  1.000
 18.000, 61.000,  1.000
 19.000, 65.000,  1.000
 22.000, 74.000,  1.000
 20.100, 72.000,  1.000
 28.000, 76.000,  1.000
 24.000, 58.000,  1.000
 27.000, 65.500,  1.000
 28.000, 60.000,  1.000
 30.000, 52.000,  1.000
 20.100, 60.000,  1.000
 32.000, 61.000,  1.000
 36.000, 72.000,  1.000
 86.000,132.000,  2.000
 85.000,115.000,  2.000
 85.000, 96.000,  2.000
 78.000,116.200,  2.000
 74.000, 96.000,  2.000
 98.100,122.000,  2.000
 98.000,116.000,  2.000
 98.000,124.000,  2.000
 99.000,119.000,  2.000
 99.000,128.000,  2.000
 98.100,115.000,  2.000
108.000,111.000,  2.000
110.000,111.000,  2.000
108.000,116.200,  2.000
111.000,126.000,  2.000
115.000,117.000,  2.000
117.000,115.000,  2.000
 28.000,147.000,  3.000
 32.000,149.000,  3.000
 35.000,145.900,  3.000
 33.000,154.000,  3.000
 38.000,151.000,  3.000
 43.800,150.000,  3.000
 38.000,145.000,  3.000
 38.000,143.000,  3.000
 32.000,143.000,  3.000
 34.000,141.000,  3.000
 44.000,156.000,  3.000
 44.000,149.000,  3.000
 44.000,143.000,  3.000
 46.000,145.900,  3.000
 47.000,149.000,  3.000
 49.000,152.000,  3.000
 43.800,142.000,  3.000
 53.000,144.000,  3.000
 52.000,152.000,  3.000
 55.000,155.000,  3.000
 54.000,124.000,  3.000
 60.000,136.000,  3.000
 63.000,139.000,  3.000
 70.000,  4.000,  4.000
 77.000, 12.000,  4.000
 83.000, 19.800,  4.000
 61.000, 15.000,  4.000
 69.000, 15.000,  4.000
 69.100, 16.000,  4.000
 66.000, 18.000,  4.000
 69.100, 19.800,  4.000
 64.000, 20.000,  4.000
 69.000, 21.000,  4.000
 66.000, 23.000,  4.000
 61.000, 25.000,  4.000
 76.000, 27.000,  4.000
 72.000, 31.000,  4.000
 64.000, 30.000,  4.000
